Waldshut-Tiengen;323738;Baden-Württemberg
Öhringen;107755;Baden-Württemberg
Wertheim;105780;Baden-Württemberg
Calw;126393;Baden-Württemberg
Bad Mergentheim;156267;Baden-Württemberg
Mosbach;122636;Baden-Württemberg
Freudenstadt;122567;Baden-Württemberg
Überlingen;122247;Baden-Württemberg
Leutkirch im Allgäu;114310;Baden-Württemberg
Schwetzingen;92973;Baden-Württemberg
Donaueschingen;91271;Baden-Württemberg
Nagold;87464;Baden-Württemberg
Metzingen;84674;Baden-Württemberg
Waldkirch;82859;Baden-Württemberg
Eppingen;67344;Baden-Württemberg
Weingarten;63971;Baden-Württemberg
Schwäbisch Gmünd;59840;Baden-Württemberg
Friedrichshafen;59108;Baden-Württemberg
Offenburg;58465;Baden-Württemberg
Göppingen;56781;Baden-Württemberg
Waiblingen;54263;Baden-Württemberg
Baden-Baden;54160;Baden-Württemberg
Ravensburg;49830;Baden-Württemberg
Lörrach;49303;Baden-Württemberg
Böblingen;48696;Baden-Württemberg
Rastatt;48051;Baden-Württemberg
Heidenheim an der Brenz;48048;Baden-Württemberg
Singen (Hohentwiel);47287;Baden-Württemberg
Leonberg;47219;Baden-Württemberg
Fellbach;45147;Baden-Württemberg
Filderstadt;44977;Baden-Württemberg
Lahr/Schwarzwald;44884;Baden-Württemberg
Weinheim;44797;Baden-Württemberg
Albstadt5;44431;Baden-Württemberg
Bruchsal;44104;Baden-Württemberg
Rottenburg am Neckar;43278;Baden-Württemberg
Bietigheim-Bissingen7;42968;Baden-Württemberg
Nürtingen;40535;Baden-Württemberg
Kirchheim unter Teck;40094;Baden-Württemberg
Schorndorf;39172;Baden-Württemberg
Leinfelden-Echterdingen13;39071;Baden-Württemberg
Ettlingen;38982;Baden-Württemberg
Schwäbisch Hall;38827;Baden-Württemberg
Ostfildern14;38519;Baden-Württemberg
Backnang;36266;Baden-Württemberg
Sinsheim;35175;Baden-Württemberg
Kehl;35032;Baden-Württemberg
Tuttlingen;34586;Baden-Württemberg
Crailsheim;33768;Baden-Württemberg
Balingen;33640;Baden-Württemberg
Kornwestheim;33153;Baden-Württemberg
Rheinfelden (Baden);32756;Baden-Württemberg
Biberach an der Riß;32233;Baden-Württemberg
Herrenberg;31003;Baden-Württemberg
Radolfzell am Bodensee;30943;Baden-Württemberg
Weil am Rhein;30030;Baden-Württemberg
Gaggenau;29032;Baden-Württemberg
Bühl;28882;Baden-Württemberg
Bretten;28826;Baden-Württemberg
Vaihingen an der Enz;28695;Baden-Württemberg
Winnenden;27932;Baden-Württemberg
Emmendingen;27383;Baden-Württemberg
Geislingen an der Steige;27168;Baden-Württemberg
Wangen im Allgäu;27093;Baden-Württemberg
Leimen;26910;Baden-Württemberg
Weinstadt24;26685;Baden-Württemberg
Ellwangen (Jagst);26574;Baden-Württemberg
Wiesloch;26426;Baden-Württemberg
Neckarsulm;26304;Baden-Württemberg
Remseck am Neckar26;25759;Baden-Württemberg
Mühlacker;25649;Baden-Württemberg
Ehingen;25503;Baden-Württemberg
Achern;25018;Baden-Württemberg
Rottweil;24915;Baden-Württemberg
Horb am Neckar;24665;Baden-Württemberg
Ditzingen;24633;Baden-Württemberg
Weingarten;24460;Baden-Württemberg
Stutensee27;24063;Baden-Württemberg
Waldshut-Tiengen;23674;Baden-Württemberg
Öhringen;23489;Baden-Württemberg
Wertheim;23405;Baden-Württemberg
Calw;23232;Baden-Württemberg
Bad Mergentheim;23064;Baden-Württemberg
Mosbach;23000;Baden-Württemberg
Freudenstadt;22579;Baden-Württemberg
Überlingen;22408;Baden-Württemberg
Leutkirch im Allgäu;22406;Baden-Württemberg
Schwetzingen;22335;Baden-Württemberg
Donaueschingen;21746;Baden-Württemberg
Nagold;21687;Baden-Württemberg
Metzingen;21612;Baden-Württemberg
Waldkirch;21561;Baden-Württemberg
Eppingen;21312;Baden-Württemberg
